,PtxID,trial,group,Phase,MeanAbsErr
107,Ch285298221IQ296,5,Reward,Baseline,18.87797744
108,Ch285298221IQ296,6,Reward,Baseline,15.69778417
109,Ch285298221IQ296,7,Reward,Baseline,17.49133284
110,Ch285298221IQ296,8,Reward,Baseline,17.54885714
111,Ch285298221IQ296,9,Reward,Baseline,25.62124511
112,Ch285298221IQ296,10,Reward,Baseline,14.64257225
113,Ch285298221IQ296,11,Reward,Baseline,15.12501767
114,Ch285298221IQ296,12,Reward,Baseline,42.65056667
115,Ch285298221IQ296,13,Reward,Baseline,24.74177861
116,Ch285298221IQ296,14,Reward,Baseline,24.2686189
117,Ch285298221IQ296,15,Reward,Baseline,20.30978539
118,Ch285298221IQ296,16,Reward,Baseline,30.77486399
119,Ch285298221IQ296,17,Reward,Baseline,24.28557333
120,Ch285298221IQ296,18,Reward,Baseline,32.65876138
121,Ch285298221IQ296,19,Reward,Baseline,29.01131304
122,Ch285298221IQ296,20,Reward,Adaptation,29.0340738
123,Ch285298221IQ296,21,Reward,Adaptation,25.50042687
124,Ch285298221IQ296,22,Reward,Adaptation,23.43206875
125,Ch285298221IQ296,23,Reward,Adaptation,27.77330735
126,Ch285298221IQ296,24,Reward,Adaptation,27.30091625
127,Di839285889sX391,0,Reward,Baseline,28.03026159
128,Di839285889sX391,1,Reward,Baseline,16.99801878
129,Di839285889sX391,2,Reward,Baseline,18.5729105
130,Di839285889sX391,3,Reward,Baseline,15.83029061
131,Di839285889sX391,4,Reward,Baseline,25.09644088
132,Di839285889sX391,5,Reward,Baseline,14.52409613
133,Di839285889sX391,6,Reward,Baseline,19.06650718
134,Di839285889sX391,7,Reward,Baseline,17.03369205
135,Di839285889sX391,8,Reward,Baseline,16.12588287
136,Di839285889sX391,9,Reward,Baseline,18.91233149
137,Di839285889sX391,10,Reward,Baseline,15.67339779
138,Di839285889sX391,11,Reward,Baseline,15.97999558
139,Di839285889sX391,12,Reward,Baseline,27.22516777
140,Di839285889sX391,13,Reward,Baseline,33.81642983
141,Di839285889sX391,14,Reward,Baseline,31.37818122
142,Di839285889sX391,15,Reward,Baseline,25.37047293
143,Di839285889sX391,16,Reward,Baseline,28.36719227
144,Di839285889sX391,17,Reward,Baseline,28.72323978
145,Di839285889sX391,18,Reward,Baseline,23.80027514
146,Di839285889sX391,19,Reward,Baseline,31.81450387
147,Di839285889sX391,20,Reward,Adaptation,23.63071271
148,Di839285889sX391,21,Reward,Adaptation,38.48851823
149,Di839285889sX391,22,Reward,Adaptation,23.72050166
150,Di839285889sX391,23,Reward,Adaptation,17.50393039
151,Di839285889sX391,24,Reward,Adaptation,18.13911492
152,Di839285889sX391,25,Reward,Adaptation,15.9746221
