,PtxID,Group,Trial,Slope,Intercept,MeanSqErr,MeanAbsErr,Phase
79,kL32782760pb805,Reward,25,0.8813010494925501,0.9337864611285364,543.0022267325967,16.475581215469614,Adaptation
80,kL32782760pb805,Reward,26,0.9436474870433585,-0.6311862965356296,323.46907878563536,13.933112707182321,Adaptation
81,kL32782760pb805,Reward,27,0.92778496372166,3.27281943471793,364.3720331458564,14.040449723756906,Adaptation
82,kL32782760pb805,Reward,28,0.9943836248024197,2.0616941283638663,303.4306731812154,13.48642762430939,Adaptation
83,kL32782760pb805,Reward,29,0.9598113675448541,0.41479968545752477,309.06107695138115,14.215419889502762,Adaptation
84,kL32782760pb805,Reward,30,0.948109508934542,-1.8499200323580842,650.4366851690608,19.017297237569064,Adaptation
85,kL32782760pb805,Reward,31,1.0400619726386073,-1.596412254266117,371.3853894287293,14.900465193370165,Adaptation
86,kL32782760pb805,Reward,32,1.0184215082911967,2.006035982704306,397.72642241767954,12.88502320441989,Adaptation
87,kL32782760pb805,Reward,33,1.000213543207828,-0.26634198467454384,280.33794173370165,13.256330386740332,Adaptation
88,kL32782760pb805,Reward,34,1.0351592488540093,2.437225228304991,281.9405851469613,11.413286187845305,Adaptation
89,kL32782760pb805,Reward,35,0.9992347531692355,0.013819463689324962,218.1537850033149,11.454137016574588,Adaptation
90,kL32782760pb805,Reward,36,0.9933641184739918,0.9092610649218938,445.9397400055249,13.660036464088398,Adaptation
91,kL32782760pb805,Reward,37,0.9860090811439906,-1.6027193877905561,216.96485791712706,11.73942872928177,Adaptation
92,kL32782760pb805,Reward,38,0.9242039339339303,-0.05647938712708833,242.70409445745858,12.250822099447513,Adaptation
93,kL32782760pb805,Reward,39,1.0118040443582255,-4.333466026501039,217.99869073370166,11.58654364640884,Adaptation
94,kL32782760pb805,Reward,40,1.059240774923546,3.6881531387308253,332.1835355381216,12.033562430939226,Adaptation
95,kL32782760pb805,Reward,41,0.950638355397631,2.0832459213786363,214.52633074613686,11.27032229580574,Washout
96,kL32782760pb805,Reward,42,1.0106419114475473,-6.769360461735735,259.3195928852097,10.394397350993378,Washout
97,kL32782760pb805,Reward,43,0.9945345256326202,-3.34823440476701,105.06937650275634,8.449497243660419,Washout
98,kL32782760pb805,Reward,44,0.979614772655931,-2.5248850229962096,128.67275671270718,8.842860773480663,Washout
99,kL32782760pb805,Reward,45,1.005152879893302,-3.5024234456387786,114.41235872516559,8.516045253863135,Washout
100,kL32782760pb805,Reward,46,1.033457388229483,-0.40629944197448253,127.95617999889501,8.76183093922652,Washout
101,kL32782760pb805,Reward,47,0.9524177283870277,1.6892830849407519,141.99412564972377,9.372803314917126,Washout
102,kL32782760pb805,Reward,48,0.9156747968667233,-2.0848868678936334,156.64201646187846,9.928170165745856,Washout
103,kL32782760pb805,Reward,49,1.0103299846538476,1.4372146800300614,123.86147609713028,8.110898454746138,Washout
104,kL32782760pb805,Reward,50,1.0540257193565346,-0.572606080775043,76.43428646961328,6.579455248618785,Washout
105,kL32782760pb805,Reward,51,1.0071709003103015,1.3952340796858713,108.42719195584989,8.456761589403973,Washout
106,kL32782760pb805,Reward,52,0.9037619364046697,-2.1545968392666563,120.51642642651935,9.018828729281768,Washout
107,kL32782760pb805,Reward,53,,,,,Washout
108,Ai275415234NZ493,Reward,0,0.20988232011320848,-8.171383724153927,4191.380837295805,49.76390949227373,Baseline
109,Ai275415234NZ493,Reward,1,0.8500035788822888,-1.8061393696778114,645.3188102024624,20.770454172366623,Baseline
110,Ai275415234NZ493,Reward,2,0.8880834854483652,-3.9072279010466646,656.6827467906684,20.347960907944515,Baseline
