,index,PtxID,Group,MAE_Chunk,Chunk
0,0,vn265606624Yv403,NoReward,,14
1,1,vn265606624Yv403,NoReward,,16
2,2,vn265606624Yv403,NoReward,,18
3,3,vn265606624Yv403,NoReward,,20
4,4,vn265606624Yv403,NoReward,,22
5,5,vn265606624Yv403,NoReward,,24
6,6,vn265606624Yv403,NoReward,,26
7,7,vn265606624Yv403,NoReward,,28
8,8,vn265606624Yv403,NoReward,,30
9,9,vn265606624Yv403,NoReward,,32
10,10,vn265606624Yv403,NoReward,,34
11,11,vn265606624Yv403,NoReward,,36
12,12,vn265606624Yv403,NoReward,,38
13,13,vn265606624Yv403,NoReward,,40
14,0,kL32782760pb805,Reward,11.632846771762695,14
15,1,kL32782760pb805,Reward,12.578126129913528,16
16,2,kL32782760pb805,Reward,13.110685798421818,18
17,3,kL32782760pb805,Reward,13.522220012196163,20
18,4,kL32782760pb805,Reward,13.71299603429561,22
19,5,kL32782760pb805,Reward,14.255041780151965,24
20,6,kL32782760pb805,Reward,14.905049956947545,26
21,7,kL32782760pb805,Reward,14.54783371385362,28
22,8,kL32782760pb805,Reward,14.362339337016573,30
23,9,kL32782760pb805,Reward,13.832887292817679,32
24,10,kL32782760pb805,Reward,13.479224640883979,34
25,11,kL32782760pb805,Reward,12.517963535911603,36
26,12,kL32782760pb805,Reward,11.905886660812508,38
27,13,kL32782760pb805,Reward,11.168160805068052,40
28,0,Ai275415234NZ493,Reward,32.19953261385619,14
29,1,Ai275415234NZ493,Reward,35.62898193312761,16
30,2,Ai275415234NZ493,Reward,35.868807334429526,18
31,3,Ai275415234NZ493,Reward,32.42706451695123,20
32,4,Ai275415234NZ493,Reward,34.73491047289856,22
33,5,Ai275415234NZ493,Reward,33.84800575288271,24
34,6,Ai275415234NZ493,Reward,33.05200059585328,26
35,7,Ai275415234NZ493,Reward,32.27406533312236,28
36,8,Ai275415234NZ493,Reward,31.122228045057124,30
37,9,Ai275415234NZ493,Reward,25.532987040188836,32
38,10,Ai275415234NZ493,Reward,22.64841561138071,34
39,11,Ai275415234NZ493,Reward,19.600264760904686,36
40,12,Ai275415234NZ493,Reward,17.85592559209379,38
41,13,Ai275415234NZ493,Reward,17.015772037456607,40
42,0,CL78462911bI451,NoReward,32.11941074847853,14
43,1,CL78462911bI451,NoReward,37.41740936958034,16
44,2,CL78462911bI451,NoReward,37.77103645591697,18
45,3,CL78462911bI451,NoReward,35.17280282341176,20
46,4,CL78462911bI451,NoReward,32.843360188346,22
47,5,CL78462911bI451,NoReward,30.07653222912996,24
48,6,CL78462911bI451,NoReward,26.574831950569603,26
49,7,CL78462911bI451,NoReward,26.128581538095368,28
50,8,CL78462911bI451,NoReward,25.972587725940667,30
51,9,CL78462911bI451,NoReward,26.484483178685984,32
52,10,CL78462911bI451,NoReward,26.64493124498433,34
53,11,CL78462911bI451,NoReward,28.330572018464995,36
54,12,CL78462911bI451,NoReward,28.039825963679828,38
55,13,CL78462911bI451,NoReward,25.871336393228695,40
56,0,XY13546991Od507,NoReward,35.95305712426671,14
57,1,XY13546991Od507,NoReward,38.699917345261184,16
58,2,XY13546991Od507,NoReward,39.65862133596771,18
59,3,XY13546991Od507,NoReward,37.08976343541522,20
60,4,XY13546991Od507,NoReward,37.156494495261796,22
61,5,XY13546991Od507,NoReward,36.15335515824522,24
62,6,XY13546991Od507,NoReward,36.80110511494884,26
63,7,XY13546991Od507,NoReward,38.732115049699374,28
64,8,XY13546991Od507,NoReward,41.08037301989195,30
65,9,XY13546991Od507,NoReward,40.307541739050905,32
66,10,XY13546991Od507,NoReward,39.89997510921664,34
67,11,XY13546991Od507,NoReward,41.226490984596246,36
68,12,XY13546991Od507,NoReward,38.314649106143214,38
69,13,XY13546991Od507,NoReward,34.18624594258046,40
70,0,iA94696354Ww734,NoReward,25.770101330723357,14
71,1,iA94696354Ww734,NoReward,26.60964122022612,16
72,2,iA94696354Ww734,NoReward,25.550085639383852,18
73,3,iA94696354Ww734,NoReward,22.575579000402477,20
74,4,iA94696354Ww734,NoReward,22.45493048809045,22
75,5,iA94696354Ww734,NoReward,21.547300985328018,24
76,6,iA94696354Ww734,NoReward,26.149207062676084,26
77,7,iA94696354Ww734,NoReward,28.024422342029197,28
78,8,iA94696354Ww734,NoReward,27.764473842889032,30
79,9,iA94696354Ww734,NoReward,27.66748124620395,32
80,10,iA94696354Ww734,NoReward,29.40708489261279,34
81,11,iA94696354Ww734,NoReward,25.470244450623834,36
82,12,iA94696354Ww734,NoReward,22.605495911602212,38
83,13,iA94696354Ww734,NoReward,21.980476574585637,40
84,0,UJ22372929Ma480,NoReward,,14
85,1,UJ22372929Ma480,NoReward,,16
86,2,UJ22372929Ma480,NoReward,,18
87,3,UJ22372929Ma480,NoReward,,20
88,4,UJ22372929Ma480,NoReward,,22
89,5,UJ22372929Ma480,NoReward,,24
90,6,UJ22372929Ma480,NoReward,,26
91,7,UJ22372929Ma480,NoReward,,28
92,8,UJ22372929Ma480,NoReward,,30
93,9,UJ22372929Ma480,NoReward,,32
94,10,UJ22372929Ma480,NoReward,,34
95,11,UJ22372929Ma480,NoReward,,36
96,12,UJ22372929Ma480,NoReward,,38
97,13,UJ22372929Ma480,NoReward,,40
98,0,nN48787345GM446,Reward,,14
99,1,nN48787345GM446,Reward,,16
100,2,nN48787345GM446,Reward,,18
101,3,nN48787345GM446,Reward,,20
102,4,nN48787345GM446,Reward,,22
103,5,nN48787345GM446,Reward,,24
104,6,nN48787345GM446,Reward,,26
105,7,nN48787345GM446,Reward,,28
106,8,nN48787345GM446,Reward,,30
107,9,nN48787345GM446,Reward,,32
108,10,nN48787345GM446,Reward,,34
109,11,nN48787345GM446,Reward,,36
110,12,nN48787345GM446,Reward,,38
111,13,nN48787345GM446,Reward,,40
112,0,rN464901337br235,Reward,23.81420776115034,14
113,1,rN464901337br235,Reward,25.414055495956973,16
114,2,rN464901337br235,Reward,24.150009529106143,18
115,3,rN464901337br235,Reward,23.373489625333868,20
116,4,rN464901337br235,Reward,22.19627415462296,22
117,5,rN464901337br235,Reward,19.734075836473846,24
118,6,rN464901337br235,Reward,18.478339297379044,26
119,7,rN464901337br235,Reward,18.962314877489543,28
120,8,rN464901337br235,Reward,20.067811245350214,30
121,9,rN464901337br235,Reward,18.76739652397156,32
122,10,rN464901337br235,Reward,19.325994400131716,34
123,11,rN464901337br235,Reward,20.489099779005528,36
124,12,rN464901337br235,Reward,20.244706298342543,38
125,13,rN464901337br235,Reward,19.64336961325967,40
126,0,bK159349224Ky792,Reward,,14
127,1,bK159349224Ky792,Reward,,16
128,2,bK159349224Ky792,Reward,,18
129,3,bK159349224Ky792,Reward,,20
130,4,bK159349224Ky792,Reward,,22
131,5,bK159349224Ky792,Reward,,24
132,6,bK159349224Ky792,Reward,,26
133,7,bK159349224Ky792,Reward,,28
134,8,bK159349224Ky792,Reward,,30
135,9,bK159349224Ky792,Reward,,32
136,10,bK159349224Ky792,Reward,,34
137,11,bK159349224Ky792,Reward,,36
138,12,bK159349224Ky792,Reward,,38
139,13,bK159349224Ky792,Reward,,40
140,0,N,Reward,,14
141,1,N,Reward,,16
142,2,N,Reward,,18
143,3,N,Reward,,20
144,4,N,Reward,,22
145,5,N,Reward,,24
146,6,N,Reward,,26
147,7,N,Reward,,28
148,8,N,Reward,,30
149,9,N,Reward,,32
150,10,N,Reward,,34
151,11,N,Reward,,36
152,12,N,Reward,,38
153,13,N,Reward,,40
154,0,QJ690773638qD178,NoReward,,14
155,1,QJ690773638qD178,NoReward,,16
156,2,QJ690773638qD178,NoReward,,18
157,3,QJ690773638qD178,NoReward,,20
158,4,QJ690773638qD178,NoReward,,22
159,5,QJ690773638qD178,NoReward,,24
160,6,QJ690773638qD178,NoReward,,26
161,7,QJ690773638qD178,NoReward,,28
162,8,QJ690773638qD178,NoReward,,30
163,9,QJ690773638qD178,NoReward,,32
164,10,QJ690773638qD178,NoReward,,34
165,11,QJ690773638qD178,NoReward,,36
166,12,QJ690773638qD178,NoReward,,38
167,13,QJ690773638qD178,NoReward,,40
168,0,Y,Reward,,14
169,1,Y,Reward,,16
170,2,Y,Reward,,18
171,3,Y,Reward,,20
172,4,Y,Reward,,22
173,5,Y,Reward,,24
174,6,Y,Reward,,26
175,7,Y,Reward,,28
176,8,Y,Reward,,30
177,9,Y,Reward,,32
178,10,Y,Reward,,34
179,11,Y,Reward,,36
180,12,Y,Reward,,38
181,13,Y,Reward,,40
182,0,qX523123508pL71,Reward,22.431803944178824,14
183,1,qX523123508pL71,Reward,23.29662686642313,16
184,2,qX523123508pL71,Reward,22.18238249234279,18
185,3,qX523123508pL71,Reward,22.68037597725825,20
186,4,qX523123508pL71,Reward,22.258277653396583,22
187,5,qX523123508pL71,Reward,22.360181778505456,24
188,6,qX523123508pL71,Reward,22.543000633724308,26
189,7,qX523123508pL71,Reward,20.83706479616116,28
190,8,qX523123508pL71,Reward,20.038772188631256,30
191,9,qX523123508pL71,Reward,19.65305296935237,32
192,10,qX523123508pL71,Reward,18.884704986012483,34
193,11,qX523123508pL71,Reward,19.615043715759306,36
194,12,qX523123508pL71,Reward,20.569405625435994,38
195,13,qX523123508pL71,Reward,19.479575323450383,40
196,0,L,Reward,22.244366258617895,14
197,1,L,Reward,24.244503480297098,16
198,2,L,Reward,26.528989778395715,18
199,3,L,Reward,31.448834254143645,20
200,4,L,Reward,,22
201,5,L,Reward,,24
202,6,L,Reward,,26
203,7,L,Reward,,28
204,8,L,Reward,,30
205,9,L,Reward,,32
206,10,L,Reward,,34
207,11,L,Reward,,36
208,12,L,Reward,,38
209,13,L,Reward,,40
210,0,MY493867256yh257,NoReward,24.50319676106497,14
211,1,MY493867256yh257,NoReward,27.630435098849897,16
212,2,MY493867256yh257,NoReward,27.67279160135621,18
213,3,MY493867256yh257,NoReward,27.21043182235069,20
214,4,MY493867256yh257,NoReward,26.683275137267817,22
215,5,MY493867256yh257,NoReward,26.791078545973438,24
216,6,MY493867256yh257,NoReward,25.60739703024321,26
217,7,MY493867256yh257,NoReward,26.04085051090619,28
218,8,MY493867256yh257,NoReward,25.831199745353036,30
219,9,MY493867256yh257,NoReward,26.521784828225957,32
220,10,MY493867256yh257,NoReward,27.00940971230143,34
221,11,MY493867256yh257,NoReward,27.02401597456092,36
222,12,MY493867256yh257,NoReward,26.21240702428468,38
223,13,MY493867256yh257,NoReward,24.19965999978259,40
224,0,AC255458104IA833,Reward,,14
225,1,AC255458104IA833,Reward,,16
226,2,AC255458104IA833,Reward,,18
227,3,AC255458104IA833,Reward,,20
