	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	308.132	117.725	2.617	0.009	77.395	538.869
group[T.Reward]	8.853	179.828	0.049	0.961	-343.604	361.310
trial	-6.780	2.769	-2.448	0.014	-12.208	-1.352
trial:group[T.Reward]	-0.180	4.230	-0.043	0.966	-8.472	8.111
Group Var	27.607	4.477				
