	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	-129.742	367.487	-0.353	0.724	-850.004	590.519
group[T.Reward]	284.754	561.346	0.507	0.612	-815.464	1384.972
trial	3.811	8.646	0.441	0.659	-13.134	20.756
trial:group[T.Reward]	-6.565	13.206	-0.497	0.619	-32.448	19.319
Group Var	156.683	10.223				
