	0	1	2	3
0	Model:	MixedLM	Dependent Variable:	MeanAbsErr
1	No. Observations:	28	Method:	REML
2	No. Groups:	14	Scale:	70.9560
3	Min. group size:	2	Log-Likelihood:	-90.4058
4	Max. group size:	2	Converged:	Yes
5	Mean group size:	2.0		
