	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	302.625	203.223	1.489	0.136	-95.684	700.934
group[T.Reward]	32.473	310.428	0.105	0.917	-575.955	640.900
trial	-6.505	4.781	-1.361	0.174	-15.875	2.865
trial:group[T.Reward]	-0.710	7.303	-0.097	0.923	-15.024	13.603
Group Var	69.871	6.979				
