	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	-14.690	536.675	-0.027	0.978	-1066.553	1037.173
group[T.Reward]	410.886	819.784	0.501	0.616	-1195.861	2017.633
trial	1.222	12.626	0.097	0.923	-23.525	25.968
trial:group[T.Reward]	-9.570	19.287	-0.496	0.620	-47.371	28.231
Group Var	247.489	12.948				
