,PtxID,trial,group,Phase,MeanAbsErr
185,Hv578899179Yv8,2,NoReward,Baseline,15.64980290205562
186,Hv578899179Yv8,3,NoReward,Baseline,17.280567331670824
187,Hv578899179Yv8,4,NoReward,Baseline,15.543435540069687
188,Hv578899179Yv8,5,NoReward,Baseline,15.300860599078339
189,Hv578899179Yv8,6,NoReward,Baseline,14.593828538550058
190,Hv578899179Yv8,7,NoReward,Baseline,12.00680459770115
191,Hv578899179Yv8,8,NoReward,Baseline,14.920068027210885
192,Hv578899179Yv8,9,NoReward,Baseline,11.943210235131396
193,Hv578899179Yv8,10,NoReward,Baseline,12.767897347174163
194,Hv578899179Yv8,11,NoReward,Baseline,14.607850896860988
195,Hv578899179Yv8,12,NoReward,Baseline,24.027317912218273
196,Hv578899179Yv8,13,NoReward,Baseline,18.024483390607102
197,Hv578899179Yv8,14,NoReward,Baseline,16.55459619952494
198,Io68859918mV642,0,NoReward,Baseline,33.1345
199,Io68859918mV642,1,NoReward,Baseline,24.14658453038674
200,Io68859918mV642,2,NoReward,Baseline,17.306193277310925
201,Io68859918mV642,3,NoReward,Baseline,17.427050828729282
202,Io68859918mV642,4,NoReward,Baseline,30.81028846153846
203,Io68859918mV642,5,NoReward,Baseline,19.39636906077348
204,Io68859918mV642,6,NoReward,Baseline,27.794839580209896
205,Io68859918mV642,7,NoReward,Baseline,17.56141325966851
206,Io68859918mV642,8,NoReward,Baseline,12.836074596774194
207,Io68859918mV642,9,NoReward,Baseline,16.13870074349442
208,Io68859918mV642,10,NoReward,Baseline,20.537916022099445
209,Io68859918mV642,11,NoReward,Baseline,13.805612676056336
210,Io68859918mV642,12,NoReward,Baseline,41.79229050925927
211,Io68859918mV642,13,NoReward,Baseline,24.413388429752064
212,Io68859918mV642,14,NoReward,Baseline,30.78910276243094
213,Io68859918mV642,15,NoReward,Baseline,35.29961104972376
214,Io68859918mV642,16,NoReward,Baseline,41.634829145728645
215,Io68859918mV642,17,NoReward,Baseline,28.820172839506174
216,Io68859918mV642,18,NoReward,Baseline,26.121525423728812
217,Io68859918mV642,19,NoReward,Baseline,43.26009050772627
218,Io68859918mV642,20,NoReward,Adaptation,32.930489502762434
219,Io68859918mV642,21,NoReward,Adaptation,20.304763796909494
220,Io68859918mV642,22,NoReward,Adaptation,9.205026548672565
221,Io68859918mV642,23,NoReward,Adaptation,15.81996842105263
222,Io68859918mV642,25,NoReward,Adaptation,32.460622489959846
223,Io68859918mV642,26,NoReward,Adaptation,26.265118541033434
224,Io68859918mV642,27,NoReward,Adaptation,15.603602836879434
225,L,0,Reward,Baseline,17.208325607064015
226,L,1,Reward,Baseline,14.917346961325967
227,L,2,Reward,Baseline,14.235438674033148
228,L,3,Reward,Baseline,13.691272928176797
229,L,4,Reward,Baseline,16.83620994475138
230,L,5,Reward,Baseline,15.051229834254144
231,L,6,Reward,Baseline,12.233288397790055
232,L,7,Reward,Baseline,13.84913370165746
233,L,8,Reward,Baseline,15.397818687430478
234,L,9,Reward,Baseline,15.873702762430938
235,L,10,Reward,Baseline,18.61434364640884
236,L,11,Reward,Baseline,13.271205524861877
237,L,12,Reward,Baseline,28.364342541436468
238,L,13,Reward,Baseline,25.712383425414366
239,L,14,Reward,Baseline,22.42575165562914
240,L,15,Reward,Baseline,31.448834254143645
241,ML52766852sX612,0,NoReward,Baseline,23.042343991179717
242,ML52766852sX612,1,NoReward,Baseline,48.116979005524854
243,ML52766852sX612,2,NoReward,Baseline,32.662746136865344
244,ML52766852sX612,3,NoReward,Baseline,13.237615469613262
245,ML52766852sX612,4,NoReward,Baseline,16.058927071823206
246,ML52766852sX612,5,NoReward,Baseline,16.036775690607733
247,MY493867256yh257,0,NoReward,Baseline,17.848974613686533
248,MY493867256yh257,1,NoReward,Baseline,17.01293591160221
249,MY493867256yh257,2,NoReward,Baseline,18.477281767955805
250,MY493867256yh257,3,NoReward,Baseline,18.220614364640888
251,MY493867256yh257,4,NoReward,Baseline,25.324914917127074
252,MY493867256yh257,5,NoReward,Baseline,23.35492596685083
253,MY493867256yh257,6,NoReward,Baseline,14.631647513812155
254,MY493867256yh257,7,NoReward,Baseline,13.835649723756905
255,MY493867256yh257,8,NoReward,Baseline,18.185122651933703
256,MY493867256yh257,9,NoReward,Baseline,21.292819889502763
257,MY493867256yh257,10,NoReward,Baseline,19.87487513812155
258,MY493867256yh257,11,NoReward,Baseline,18.251163535911598
259,MY493867256yh257,12,NoReward,Baseline,31.638347682119207
260,MY493867256yh257,13,NoReward,Baseline,30.458132596685083
261,MY493867256yh257,14,NoReward,Baseline,28.28433038674033
262,MY493867256yh257,15,NoReward,Baseline,25.045109392265193
263,MY493867256yh257,16,NoReward,Baseline,24.17710718232044
264,MY493867256yh257,17,NoReward,Baseline,24.7689646799117
265,MY493867256yh257,18,NoReward,Baseline,21.241117127071824
266,MY493867256yh257,19,NoReward,Baseline,38.11304304635762
267,MY493867256yh257,20,NoReward,Adaptation,34.32703535911602
268,MY493867256yh257,21,NoReward,Adaptation,27.913719337016573
269,MY493867256yh257,22,NoReward,Adaptation,22.399356906077347
270,MY493867256yh257,23,NoReward,Adaptation,22.24447403314917
271,MY493867256yh257,24,NoReward,Adaptation,31.874391160221
272,MY493867256yh257,25,NoReward,Adaptation,21.67298342541437
273,MY493867256yh257,26,NoReward,Adaptation,22.27766629834254
274,MY493867256yh257,27,NoReward,Adaptation,23.230200883002208
275,MY493867256yh257,28,NoReward,Adaptation,23.857915011037527
276,MY493867256yh257,29,NoReward,Adaptation,34.50320247469067
277,MY493867256yh257,30,NoReward,Adaptation,26.100060773480664
278,MY493867256yh257,31,NoReward,Adaptation,27.151339226519337
279,MY493867256yh257,32,NoReward,Adaptation,27.49627182320442
280,MY493867256yh257,33,NoReward,Adaptation,26.63542825607064
281,MY493867256yh257,34,NoReward,Adaptation,25.38692928176796
282,MY493867256yh257,35,NoReward,Adaptation,21.22599005524862
283,MY493867256yh257,36,NoReward,Adaptation,29.63051049723757
284,MY493867256yh257,37,NoReward,Adaptation,29.726915011037526
285,MY493867256yh257,38,NoReward,Adaptation,22.237449723756907
286,MY493867256yh257,39,NoReward,Adaptation,34.099786740331496
