	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	217.875	0.000	9950252858201.584	0.000	217.875	217.875
group[T.Reward]	0.000					
trial	-4.700	0.000	-19673472823359.406	0.000	-4.700	-4.700
trial:group[T.Reward]	0.000	0.000	4.087	0.000	0.000	0.000
Group Var	0.000					
