	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	22886.036	9749.639	2.347	0.019	3777.095	41994.977
group[T.Reward]	-1069.008	14892.819	-0.072	0.943	-30258.397	28120.381
trial	-497.041	229.358	-2.167	0.030	-946.574	-47.508
trial:group[T.Reward]	27.135	350.350	0.077	0.938	-659.539	713.808
Group Var	195727.417	378.767				
