	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	50.978	343.803	0.148	0.882	-622.864	724.819
group[T.Reward]	761.046	525.168	1.449	0.147	-268.265	1790.356
trial	-0.420	8.088	-0.052	0.959	-16.272	15.432
trial:group[T.Reward]	-17.516	12.355	-1.418	0.156	-41.731	6.699
Group Var	206.124	12.027				
