,PtxID,Group,Trial,Slope,Intercept,MeanSqErr,MeanAbsErr,Phase,PhaseN,Chunk,GroupN
0,vn265606624Yv403,NoReward,0,0.7517113934547909,3.918706354032514,1634.1971996615218,22.43436493936053,Baseline,0,28.0,0.0
1,vn265606624Yv403,NoReward,1,0.9727846966848829,0.5418984052040696,206.84153192375692,11.36796574585635,Baseline,0,26.0,0.0
2,vn265606624Yv403,NoReward,2,0.9297036170663742,-3.57138093527818,1229.409523045254,22.40030353200883,Baseline,0,28.0,0.0
3,vn265606624Yv403,NoReward,3,1.0742660052653634,0.9885930077017664,238.606633209713,11.604896247240617,Baseline,0,28.0,0.0
4,vn265606624Yv403,NoReward,4,0.9672662584921008,3.480575866401576,271.97189787858713,13.132121412803532,Baseline,0,27.0,0.0
5,vn265606624Yv403,NoReward,5,0.9387759760202019,-1.177350387194024,206.24093172295807,10.43637417218543,Baseline,0,26.0,0.0
6,vn265606624Yv403,NoReward,6,0.9755871755140627,-3.94154877214052,481.45130103535905,13.870432044198893,Baseline,0,26.0,0.0
54,kL32782760pb805,Reward,0,0.9711521589054657,-4.607118745964068,495.3889602980133,15.354048565121413,Baseline,0,,1.0
55,kL32782760pb805,Reward,1,0.9574318875627218,-0.02287044033225305,243.8810294977117,11.626140732265446,Baseline,0,,1.0
56,kL32782760pb805,Reward,2,0.9557143841768306,3.7450154828489937,278.7866939160221,12.093222099447514,Baseline,0,,1.0
57,kL32782760pb805,Reward,3,0.9752624155404311,-1.0617735416283258,93.77619001657457,8.09021767955801,Baseline,0,,1.0
58,kL32782760pb805,Reward,4,0.969766122083919,-0.8824592724268334,100.07132260000002,7.715386740331491,Baseline,0,,1.0
59,kL32782760pb805,Reward,5,0.9922445231423679,1.2236919212495576,179.21158077016574,10.592584530386741,Baseline,0,,1.0
60,kL32782760pb805,Reward,6,0.9986643187199633,0.3915509664822685,156.9044523366446,10.166504415011039,Baseline,0,,1.0
61,kL32782760pb805,Reward,7,0.9970310365996635,0.43627092585279054,101.37586906961324,8.055337016574585,Baseline,0,,1.0
62,kL32782760pb805,Reward,8,0.9832859062610949,0.5888243069376922,112.1119592154696,8.162643093922652,Baseline,0,,1.0
63,kL32782760pb805,Reward,9,1.0197308088836052,-2.9621376844790426,91.50612932379516,7.8808207831325285,Baseline,0,,1.0
64,kL32782760pb805,Reward,10,1.0089036503442659,2.628914824413851,125.7847449237569,9.399020994475139,Baseline,0,,1.0
