	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	34.137	179.016	0.191	0.849	-316.727	385.002
group[T.Reward]	341.018	273.451	1.247	0.212	-194.936	876.973
trial	-0.150	4.212	-0.036	0.972	-8.405	8.105
trial:group[T.Reward]	-7.941	6.434	-1.234	0.217	-20.551	4.668
Group Var	8.843	3.038				
