	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	228.860	97.497	2.347	0.019	37.771	419.950
group[T.Reward]	-10.690	148.928	-0.072	0.943	-302.584	281.204
trial	-4.970	2.294	-2.167	0.030	-9.466	-0.475
trial:group[T.Reward]	0.271	3.504	0.077	0.938	-6.595	7.138
Group Var	19.573	3.788				
