	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	265.342	102.851	2.580	0.010	63.757	466.926
group[T.Reward]	-26.426	157.108	-0.168	0.866	-334.351	281.500
trial	-5.784	2.419	-2.390	0.017	-10.526	-1.042
trial:group[T.Reward]	0.635	3.696	0.172	0.864	-6.609	7.878
Group Var	26.430	4.550				
