	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	229.268	348.564	0.658	0.511	-453.904	912.440
group[T.Reward]	684.423	532.440	1.285	0.199	-359.139	1727.986
trial	-4.632	8.200	-0.565	0.572	-20.704	11.439
trial:group[T.Reward]	-15.703	12.526	-1.254	0.210	-40.253	8.847
Group Var	224.653	12.643				
